Sorular;Şıklar;Doğru Cevap ve Açıklaması
Karbon ayak izi hesaplamalarına göre, bitki bazlı gıdaların üretimi yaklaşık 0.5 kg CO2 emisyonuna neden olurken, 1 kilogram sığır eti (kırmızı et) üretimi ortalama kaç kg CO2 yayar?;"A) 2 kg CO2
B) 10 kg CO2
C) 27 kg CO2";"C - Beslenme tercihlerinin etkisine bakıldığında; 1 kg sığır eti yaklaşık 27 kg CO2 emisyonuna neden olurken, bitki bazlı gıdalar sadece 0.5 kg CO2 salınımına yol açar[cite: 18]."
"Tekstil endüstrisinin denizlere verdiği büyük zararlardan biri olan, özellikle ""sentetik (polyester vb.)"" giysilerin yıkanmasıyla okyanuslara karışan kirlilik türü hangisidir?";"A) Radyoaktif atık
B) Mikroplastik kirliliği
C) Ağır metal kirliliği";B - Tekstil endüstrisinde kullanılan sentetik kıyafetlerin yıkanması, okyanuslardaki deniz suyu mikroplastik kirliliğinin çok büyük bir kısmına neden olmaktadır[cite: 15].
Birleşmiş Milletler Küresel Atık Yönetimi (Global Waste Management) hedeflerine göre, 2030 yılına kadar perakende ve tüketici düzeyinde küresel gıda israfının hangi oranda azaltılması hedeflenmektedir?;"A) %10
B) %25
C) %50 (Yarı yarıya)";C - BM Küresel Atık Yönetimi amaçları doğrultusunda, perakende ve tüketici düzeyindeki kişi başına düşen gıda israfının 2030 yılına kadar yarı yarıya (%50) azaltılması hedeflenmektedir[cite: 2].
Evsel atıkların kaynağında ayrıştırılmaması durumunda organik atıkların çöplüklerde havasız (anaerobik) ortamda çürümesi, karbondioksitten 25 kat daha tehlikeli olan hangi gazın salınımını artırır?;"A) Oksijen
B) Metan
C) Azot";B - Organik atıkların çöplüklerde (düzenli depolama alanlarında) havasız ortamda çürümesi, küresel ısınmaya karbondioksitten çok daha fazla etki eden metan gazının yoğun şekilde salınmasına neden olur[cite: 12].
Üniversite kampüslerinde uygulanan enerji yönetimi projelerinde (IoT sistemleriyle), elektrik tüketiminin en büyük bölümünü oluşturduğu için öncelikle kontrol altına alınan iki sistem hangisidir?;"A) Aydınlatma ve İklimlendirme (Klima)
B) Bilgisayarlar ve Yazıcılar
C) Laboratuvar Cihazları ve Asansörler";A - Kampüs ortamlarında elektrik tüketiminin en büyük kısmını aydınlatma ve klima (iklimlendirme) cihazları oluşturduğu için akıllı enerji yönetim sistemleri (IoT) öncelikle bu alanlara odaklanır[cite: 16].
Çöpe giden organik atıkların (meyve, sebze, yaprak vb.) mikroorganizmalar tarafından oksijenli (aerobik) ortamda çürütülerek doğal ve zengin bir toprak gübresine dönüştürülmesine ne ad verilir?;"A) Geri Kazanım
B) Yakma (İnsinerasyon)
C) Kompostlama";"C - Kompostlama; organik atıkların mikroorganizmalar yardımıyla aerobik (oksijenli) ortamda ayrıştırılarak toprağı zenginleştiren humus benzeri doğal gübreye (kompost) dönüştürülmesi işlemidir[cite: 2, 9]."
Bireylerin kredi kartı veya banka harcama dökümlerini sisteme entegre ederek tüketim alışkanlıklarından doğan karbon ayak izini finansal veriler üzerinden gerçeğe en yakın şekilde hesaplayan yenilikçi sistem örneği nedir?;"A) Svalna
B) EcoTrack
C) GreenCoin";A - 'Svalna' isimli karbon ayak izi hesaplayıcısı, diğer uygulamalardan farklı olarak kullanıcıların banka işlem (harcama) verilerini kullanarak tüketimden kaynaklı sera gazı emisyonlarını hesaplar[cite: 19].
İnternete bağlı cihazların birbirleriyle veri alışverişi yaparak çevreyi, enerji tüketimini veya kampüs sistemlerini akıllıca yönetmesini sağlayan ağ teknolojisinin İngilizce kısaltması nedir?;"A) GPS (Küresel Konumlama)
B) IoT (Nesnelerin İnterneti)
C) VR (Sanal Gerçeklik)";B - Nesnelerin İnterneti (Internet of Things - IoT), cihazların sensörler aracılığıyla internete bağlanarak veri alışverişi yapmasını ve akıllı kampüslerde enerji-atık yönetimini sağlamasını ifade eder[cite: 16, 37].
Üniversite binalarında veya ofislerde, asansörler yerine aşağıdakilerden hangisinin tercih edilmesi kurumsal enerji verimliliğine doğrudan ve önemli bir katkı sağlar?;"A) Yürüyen merdivenler
B) Sadece yük asansörleri
C) Merdivenler";C - Bina içerisinde kısa mesafelerde asansör yerine doğrudan merdiven kullanmak, bina enerji performansını iyileştiren ve enerji tasarrufu sağlayan bireysel ve etkili bir davranış değişikliğidir[cite: 29].
Atık yönetiminde geri dönüştürülebilir temiz malzemelerin (kağıt, plastik) organik atıklarla veya sıvılarla aynı kutuya atılarak kalitesinin düşmesine ve makinelere zarar vermesine ne denir?;"A) Kontaminasyon (Kirlenme)
B) Arıtma
C) Dönüşüm Kaybı";"A - Kaynağında ayrıştırmanın yanlış yapılması sonucu geri dönüştürülebilir atıkların kirlenmesine 'kontaminasyon' denir; bu durum makineleri bozabilir ve geri dönüşüm maliyetlerini ciddi şekilde artırır[cite: 7, 12]."
"Tüket, kullan ve çöpe at mantığına dayanan ""Lineer (Doğrusal) Ekonomi""nin aksine, malzemelerin kullanım ömrünün sonuna geldiğinde geri dönüştürülerek tekrar üretime dahil edilmesini savunan model hangisidir?";"A) Tüketim Ekonomisi
B) Döngüsel Ekonomi (Circular Economy)
C) Geleneksel Ekonomi";"B - Döngüsel ekonomi; kaynakların maksimum verimle kullanılmasını sağlayan, atık kavramını ortadan kaldırarak ürünlerin tekrar tekrar üretim sürecine katıldığı onarıcı bir ekonomik modeldir[cite: 5, 15]."
Birleşmiş Milletler'in Sürdürülebilir Kalkınma Amaçları'ndan (SKA) 12. sırada yer alan ve doğal kaynakların israfını önleyerek daha az kaynakla daha fazlasını yapmayı hedefleyen amaç hangisidir?;"A) İklim Eylemi
B) Yoksulluğa Son
C) Sorumlu Üretim ve Tüketim";"C - Sürdürülebilir Kalkınma Amaçları'ndan (SKA) 12. amaç 'Sorumlu Üretim ve Tüketim'dir; doğal kaynakların tükenmesini engelleyerek döngüsel ekonomiyi ve kaynak verimliliğini teşvik eder[cite: 5, 21]."
Güneşten gelen ışınımı içinde barındırdığı hücreler sayesinde hareketli hiçbir parçası olmadan doğrudan elektrik enerjisine çeviren ve kampüs çatılarına kurulan sistemlere ne denir?;"A) Rüzgar Türbinleri
B) Fotovoltaik (PV) Sistemler
C) Jeotermal Pompalar";B - Güneş enerjisini doğrudan elektrik enerjisine çeviren fotovoltaik (PV) sistemler, hareketli parça içermedikleri ve atık üretmedikleri için kampüslerde en sık tercih edilen sürdürülebilir enerji kaynaklarıdır[cite: 22].
Kampüs içi açık hava alanlarında hava kalitesi, nem veya sıcaklık ölçen sensörlerin pillerini hiç değiştirmeden yıllarca çalıştırabilmek için en sık kullanılan doğa dostu teknoloji (enerji hasadı) hangisidir?;"A) Titreşim Enerjisi
B) Fotovoltaik (Küçük Güneş Paneli) Hasadı
C) Termal Isı Hasadı";B - Dış mekan çevre izleme sistemlerindeki kablosuz sensörlerin enerji ihtiyacını karşılamak için tükenmeyen, çevreyi kirletmeyen ve en yüksek dönüşüm verimine sahip olan yöntem fotovoltaik (güneş enerjisi) enerji hasadıdır[cite: 33].
Üniversite kampüslerinde öğrenme süreçlerinin, fiziksel çevrenin, enerji sistemlerinin ve güvenlik hizmetlerinin IoT teknolojileriyle entegre edilip optimize edildiği yeni nesil yerleşke modeline ne ad verilir?;"A) Geleneksel Kampüs
B) Akıllı Kampüs (Smart Campus)
C) Sanal Kampüs";B - Smart Campus (Akıllı Kampüs), IoT gibi akıllı teknolojilerle fiziksel altyapıyı birleştirerek enerji verimliliğini, kaynak yönetimini ve öğrenci yaşam kalitesini artıran yenilikçi bir konsepttir[cite: 5, 31].
"Fosil yakıtlar (kömür, doğalgaz vb.) küresel ısınmayı hızlandırırken; rüzgar, güneş ve biyokütle gibi doğada asla tükenmeyen ve karbon salınımı yapmayan kaynaklara genel olarak ne ad verilir?";"A) Nükleer Enerji
B) Yenilenebilir Enerji Kaynakları (RES)
C) İkincil Enerji Kaynakları";B - Güneş ve rüzgar gibi doğada sürekli var olan, kolayca tükenmeyen ve geleneksel fosil yakıtlara (CES) göre çok daha temiz olan kaynaklara Yenilenebilir Enerji Kaynakları (RES) denilmektedir[cite: 11, 22].
"Kömür, doğalgaz ve güneş gibi doğadan doğrudan elde edilen ve hiçbir dönüşüm geçirmemiş kaynaklara ""birincil enerji"" denirken; bu kaynakların dönüştürülmesiyle evlerimizde kullandığımız ""elektriğe"" ne ad verilir?";"A) İkincil Enerji
B) Üçüncül Enerji
C) Reaktif Enerji";"A - Elektrik gibi formlar, doğadan doğrudan elde edilmeyen ancak birincil enerji kaynaklarının dönüştürülmesi sonucunda üretilen ""ikincil enerji (secondary energy)"" kaynakları olarak sınıflandırılır[cite: 35]."
"Kişilerin elektrik kullanımı, ulaşım türleri ve uçuş mesafesi gibi günlük faaliyetlerinin karbon salınımını analiz ederek sonucu ""ton karbondioksit eşdeğeri (tCO2e)"" olarak gösteren yazılımların genel adı nedir?";"A) Kalori Hesaplayıcı
B) Karbon Ayak İzi Hesaplayıcısı
C) Adım Sayar";B - Karbon ayak izi hesaplayıcıları, kişilerin yaşam tarzı verilerini (ulaşım, elektrik, beslenme vb.) kullanarak atmosfere verdikleri zararı tCO2e (ton karbondioksit eşdeğeri) cinsinden hesaplayan eğitim araçlarıdır[cite: 4].
"Dünya genelinde üniversitelerin sürdürülebilirlik performanslarını değerlendirmek amacıyla ""UI GreenMetric Dünya Üniversiteler Sıralaması"" 2010 yılında ilk olarak hangi üniversite tarafından geliştirilmiştir?";"A) Oxford Üniversitesi
B) Endonezya Üniversitesi
C) Harvard Üniversitesi";B - UI GreenMetric modeli, üniversitelerin çevresel duyarlılığını küresel ölçekte kıyaslamak amacıyla 2010 yılında Endonezya Üniversitesi tarafından hayata geçirilmiştir[cite: 1, 12, 19].
UI GreenMetric (Yeşil Kampüs) değerlendirme sisteminde %21'lik oranla en yüksek puana (ağırlığa) sahip olan kategori aşağıdakilerden hangisidir?;"A) Su Kullanımı
B) Enerji ve İklim Değişikliği
C) Kurulum ve Altyapı";B - UI GreenMetric sıralamasında sürdürülebilir üniversite kampüslerini değerlendirmek için belirlenen kriterler arasında 'Enerji ve İklim Değişikliği' %21 ile en yüksek ağırlığa sahiptir[cite: 1].
Dünyada çevreyi en çok kirleten endüstriler arasında ikinci sırada yer alan ve milyonlarca ton ürünün her yıl çöplüklere gitmesine neden olan sektör hangisidir?;"A) Gıda Sektörü
B) Tekstil ve Giyim Sektörü
C) Otomotiv Sektörü";"B - Tekstil ve giyim sektörü dünyadaki en büyük ve çevreye en çok zarar veren ikinci sanayi sektörüdür; her yıl devasa miktarda kıyafet çöplüklere gitmektedir[cite: 2, 10, 13]."
Üniversite binalarında enerji tasarrufu sağlamak amacıyla eski tip floresan lambaların yerine hangi aydınlatma teknolojisinin kullanılması önerilmektedir?;"A) Akkor Ampuller
B) LED Aydınlatma
C) Halojen Ampuller";B - Binalarda floresan aydınlatmadan LED sistemlere geçiş yapılması, enerji tüketiminde önemli ölçüde tasarruf sağlayan temel bir stratejidir[cite: 3].
Üniversitelerin laboratuvarlarında yapılan araştırma ve deneyler sonucunda ortaya çıkan, özel yöntemlerle (ısıl oksidasyon vb.) bertaraf edilmesi gereken atık türüne ne ad verilir?;"A) Organik Atık
B) Ambalaj Atığı
C) Tehlikeli Atık";C - Laboratuvar faaliyetleri sonucunda tehlikeli atıklar (kimyasal ve biyolojik atıklar) üretilir ve bu atıkların özel kurumlarca veya termal oksidasyon gibi yöntemlerle bertaraf edilmesi gerekir[cite: 4, 15, 21].
"Üniversite kampüsleri; yoğun nüfusları, geniş alanları ve içlerinde barındırdıkları karmaşık günlük faaliyetler nedeniyle literatürde sıklıkla neye benzetilmektedir?";"A) Küçük şehirlere
B) Tatil köylerine
C) Alışveriş merkezlerine";"A - Üniversite kampüsleri, sahip oldukları geniş yüzölçümleri, kalabalık nüfusları ve barındırdıkları çeşitli faaliyetler nedeniyle ""küçük şehirlere"" benzetilmektedir[cite: 5, 18]."
Binalarda enerji tasarrufu sağlamak ve karbon emisyonunu azaltmak amacıyla asansör yerine öncelikli olarak neyin kullanılması teşvik edilmektedir?;"A) Yürüyen merdivenlerin
B) Merdivenlerin
C) Yük asansörlerinin";B - Binalarda asansörler yerine merdiven kullanmayı tercih etmek gibi davranışsal seçimler, enerji tasarrufu sağlamada ve karbon nötr hedeflerine ulaşmada önemli bir etkendir[cite: 6, 22].
Kampüslerde elektrikli cihazların kullanım desenlerini internet üzerinden uzaktan takip edip enerji optimizasyonu yapmamızı sağlayan akıllı teknolojinin kısa adı nedir?;"A) IoT (Nesnelerin İnterneti)
B) GPS
C) USB";A - Nesnelerin İnterneti (IoT), cihazlara uzaktan erişim sağlayarak tüketicilerin enerji tüketim davranışlarını izlemelerine ve optimize etmelerine olanak tanır[cite: 8].
Yeşil binalarda içme suyu tüketimini büyük oranda azaltmak amacıyla, çatılarda toplanan yağmur suları en çok hangi alanlarda kullanılır?;"A) Sadece laboratuvarlarda
B) Tuvalet sifonlarında ve yeşil alan sulamasında
C) Yemekhanelerde yemek yapımında";B - Yağmur suyunun hasat edilip tuvalet sifonlarında ve yeşil alanların sulamasında kullanılması, binalardaki içme suyu tüketimini %60'a kadar azaltabilmektedir[cite: 9, 14].
Fakülte lavabolarından veya duşlardan gelen, arıtılarak kampüs içinde sulama gibi amaçlarla yeniden kullanılabilen az kirli atık sulara ne ad verilir?;"A) Gri Su
B) Siyah Su
C) Ağır Su";"A - Yemekhaneler ve lavabolardan ortaya çıkan su ""Gri Su"" olarak tanımlanmakta olup, bu suyun arındırılarak yeniden kullanılması sürdürülebilir su yönetimi için kritik bir adımdır[cite: 19, 27]."
Geri dönüştürülebilir atıkların (kağıt, plastik) kirlenmesini önlemek ve kaliteyi artırmak için yapılması gereken en önemli işlem nedir?;"A) Tüm atıkları aynı poşette birleştirmek
B) Atıkları kaynağında ayrı ayrı toplamak
C) Atıkları açık alanda yakmak";B - Atıkların kaynağında farklı kutularda ayrıştırılması (örneğin renk kodlu kutularla), geri dönüşüm sürecindeki kontaminasyonu (kirlenmeyi) azaltarak ikincil malzeme pazarının verimliliğini artırır[cite: 17, 18, 28].
"Çöplerin gelişigüzel biriktirilmesi ve su kanallarını tıkaması; sivrisineklerin üremesiyle kolera, dang humması gibi hastalıklara yol açarken, aynı zamanda hangi doğa olayına zemin hazırlar?";"A) Deprem
B) Su baskınları (Sel)
C) Orman yangınları";B - Biriken atıkların ve çöplerin drenaj kanallarını tıkaması durgun sular yaratarak böceklerin üremesine yol açtığı gibi, su baskınlarına (sellere) da neden olan en önemli faktörlerden biridir[cite: 23, 24].
Kampüs çatılarına kurulan güneş panellerinin (fotovoltaik sistemlerin) elektrik üretimi, güneşlenme süresinin artması nedeniyle yaz aylarında kış aylarına göre yaklaşık kaç kat artış gösterir?;"A) Değişmez
B) 3 kat
C) 10 kat";B - Güneşlenme süresinin uzamasına bağlı olarak, güneş panellerinden elde edilen elektrik üretimi yaz aylarında kış aylarına kıyasla yaklaşık 3 kat artış göstermektedir[cite: 26].
Elektronik atıkların (e-atık) genel çöplerle birlikte atılması durumunda yeraltı sularına sızarak insan ve çevre sağlığını tehdit eden tehlikeli maddeler hangileridir?;"A) Cıva, kadmiyum ve kurşun gibi ağır metaller
B) Sadece kağıt tozları
C) Organik gübreler";A - Elektronik atıkların evsel atıklarla birlikte atılması, cıva, kadmiyum ve kurşun gibi zehirli ağır metallerin yeraltı sularına sızmasına ve besin zincirine karışmasına neden olur[cite: 28].
"Katı atık yönetimi hiyerarşisine göre, atıkların çöplüğe gitmesini engellemek için geri dönüşümden bile önce gelmesi gereken ""en öncelikli"" adım aşağıdakilerden hangisidir?";"A) Atığı yakarak enerji üretmek
B) Atık oluşumunu kaynağında azaltmak
C) Çöpleri okyanusa dökmek";B - Katı atık yönetim hiyerarşisinde asıl odaklanılması gereken en temel ve öncelikli adım, atık oluşumunun kaynağında azaltılması (reduction) ve önlenmesidir[cite: 20].
Bireyleri çevre dostu davranışlara (örneğin eski kıyafetlerini geri dönüştürmeye) teşvik etmek için oyun tasarımı unsurlarının (puan, rozet vb.) kullanılması stratejisine ne ad verilir?;"A) Oyunlaştırma (Gamification)
B) Endüstrileşme
C) Simülasyon";A - Geri dönüşüm gibi çevre dostu alışkanlıkları teşvik etmek ve kullanıcının katılımını artırmak amacıyla oyun unsurlarının sürece entegre edilmesine oyunlaştırma (gamification) denir[cite: 10, 13].
1990 yılında üniversitelerin çevre okuryazarlığı ve sürdürülebilirliği öğretim, araştırma ve operasyonlarına dahil etmeleri amacıyla imzaladıkları ünlü uluslararası eylem planının adı nedir?;"A) Talloires Bildirgesi
B) Kyoto Protokolü
C) Paris Antlaşması";A - 1990 yılında imzalanan Talloires Bildirgesi, sürdürülebilirlik ve çevre okuryazarlığını üniversite eğitimine, araştırmalarına ve operasyonlarına dahil etmeyi amaçlayan on maddelik bir eylem planıdır[cite: 18].
Binaların yaşam döngüsü sonunda malzemelerin geri kazanılmasını kolaylaştıran ve inşaat sürecinde yeniden kullanılmış malzemelerin entegrasyonuna olanak tanıyan doğa dostu yapı sistemi hangisidir?;"A) Geleneksel betonarme döküm
B) Kuru montaj (dry assembly) sistemleri
C) Tek kullanımlık kalıplar";B - Kuru montaj (dry assembly) sistemleri, inşaat sürecinde yeniden kullanılmış malzemelerin sisteme dahil edilmesini ve binaların ömrü dolduğunda malzemelerin geri dönüştürülmesini kolaylaştırır[cite: 11].
